Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
11/04/2020,02/01/2020,10/31/2020,NC,Caldwell County,37027,Medium metro,15,537
11/04/2020,02/01/2020,10/31/2020,NC,Catawba County,37035,Medium metro,56,1233
11/04/2020,02/01/2020,10/31/2020,NC,Chatham County,37037,Medium metro,50,546
11/04/2020,02/01/2020,10/31/2020,NC,Cleveland County,37045,Micropolitan,43,769
11/04/2020,02/01/2020,10/31/2020,NC,Columbus County,37047,Noncore,19,454
11/04/2020,02/01/2020,10/31/2020,NC,Craven County,37049,Small metro,34,777
11/04/2020,02/01/2020,10/31/2020,NC,Cumberland County,37051,Medium metro,89,1839
11/04/2020,02/01/2020,10/31/2020,NC,Davidson County,37057,Medium metro,19,929
11/04/2020,02/01/2020,10/31/2020,NC,Duplin County,37061,Noncore,22,302
11/04/2020,02/01/2020,10/31/2020,NC,Durham County,37063,Medium metro,154,2244
11/04/2020,02/01/2020,10/31/2020,NC,Edgecombe County,37065,Small metro,22,379
11/04/2020,02/01/2020,10/31/2020,NC,Forsyth County,37067,Medium metro,139,3269
11/04/2020,02/01/2020,10/31/2020,NC,Franklin County,37069,Large fringe metro,11,245
11/04/2020,02/01/2020,10/31/2020,NC,Gaston County,37071,Large fringe metro,51,1488
11/04/2020,02/01/2020,10/31/2020,NC,Granville County,37077,Micropolitan,13,303
11/04/2020,02/01/2020,10/31/2020,NC,Guilford County,37081,Medium metro,207,3357
11/04/2020,02/01/2020,10/31/2020,NC,Halifax County,37083,Micropolitan,13,347
11/04/2020,02/01/2020,10/31/2020,NC,Harnett County,37085,Micropolitan,28,542
11/04/2020,02/01/2020,10/31/2020,NC,Haywood County,37087,Medium metro,28,465
11/04/2020,02/01/2020,10/31/2020,NC,Henderson County,37089,Medium metro,67,928
11/04/2020,02/01/2020,10/31/2020,NC,Hertford County,37091,Noncore,21,193
11/04/2020,02/01/2020,10/31/2020,NC,Iredell County,37097,Large fringe metro,26,1026
11/04/2020,02/01/2020,10/31/2020,NC,Johnston County,37101,Large fringe metro,27,823
11/04/2020,02/01/2020,10/31/2020,NC,Lenoir County,37107,Micropolitan,18,386
11/04/2020,02/01/2020,10/31/2020,NC,Lincoln County,37109,Large fringe metro,16,435
11/04/2020,02/01/2020,10/31/2020,NC,McDowell County,37111,Micropolitan,12,213
11/04/2020,02/01/2020,10/31/2020,NC,Mecklenburg County,37119,Large central metro,290,4887
11/04/2020,02/01/2020,10/31/2020,NC,Moore County,37125,Micropolitan,53,898
11/04/2020,02/01/2020,10/31/2020,NC,Nash County,37127,Small metro,19,590
11/04/2020,02/01/2020,10/31/2020,NC,New Hanover County,37129,Medium metro,53,1838
11/04/2020,02/01/2020,10/31/2020,NC,Onslow County,37133,Small metro,13,573
11/04/2020,02/01/2020,10/31/2020,NC,Orange County,37135,Medium metro,78,925
11/04/2020,02/01/2020,10/31/2020,NC,Pasquotank County,37139,Micropolitan,23,325
11/04/2020,02/01/2020,10/31/2020,NC,Pitt County,37147,Small metro,61,1543
11/04/2020,02/01/2020,10/31/2020,NC,Randolph County,37151,Medium metro,20,740
11/04/2020,02/01/2020,10/31/2020,NC,Robeson County,37155,Micropolitan,50,772
11/04/2020,02/01/2020,10/31/2020,NC,Rowan County,37159,Large fringe metro,58,948
11/04/2020,02/01/2020,10/31/2020,NC,Rutherford County,37161,Micropolitan,15,468
11/04/2020,02/01/2020,10/31/2020,NC,Scotland County,37165,Micropolitan,12,323
11/04/2020,02/01/2020,10/31/2020,NC,Stanly County,37167,Micropolitan,18,393
11/04/2020,02/01/2020,10/31/2020,NC,Surry County,37171,Micropolitan,14,609
11/04/2020,02/01/2020,10/31/2020,NC,Union County,37179,Large fringe metro,37,839
11/04/2020,02/01/2020,10/31/2020,NC,Vance County,37181,Micropolitan,45,352
11/04/2020,02/01/2020,10/31/2020,NC,Wake County,37183,Large central metro,259,4131
11/04/2020,02/01/2020,10/31/2020,NC,Wayne County,37191,Small metro,62,984
11/04/2020,02/01/2020,10/31/2020,NC,Wilkes County,37193,Micropolitan,12,407
11/04/2020,02/01/2020,10/31/2020,NC,Wilson County,37195,Micropolitan,39,537
11/04/2020,02/01/2020,10/31/2020,ND,Bottineau County,38009,Noncore,13,46
11/04/2020,02/01/2020,10/31/2020,ND,Burleigh County,38015,Small metro,98,954
11/04/2020,02/01/2020,10/31/2020,ND,Cass County,38017,Small metro,166,1639
11/04/2020,02/01/2020,10/31/2020,ND,Grand Forks County,38035,Small metro,30,534
11/04/2020,02/01/2020,10/31/2020,ND,McHenry County,38049,Micropolitan,12,46
11/04/2020,02/01/2020,10/31/2020,ND,Morton County,38059,Small metro,17,222
11/04/2020,02/01/2020,10/31/2020,ND,Stark County,38089,Micropolitan,28,176
11/04/2020,02/01/2020,10/31/2020,ND,Ward County,38101,Micropolitan,47,556
11/04/2020,02/01/2020,10/31/2020,NE,Adams County,31001,Micropolitan,21,237
11/04/2020,02/01/2020,10/31/2020,NE,Buffalo County,31019,Micropolitan,39,432
11/04/2020,02/01/2020,10/31/2020,NE,Dakota County,31043,Small metro,10,86
11/04/2020,02/01/2020,10/31/2020,NE,Dodge County,31053,Micropolitan,22,327
11/04/2020,02/01/2020,10/31/2020,NE,Douglas County,31055,Medium metro,308,4269
11/04/2020,02/01/2020,10/31/2020,NE,Hall County,31079,Small metro,42,419
11/04/2020,02/01/2020,10/31/2020,NE,Hamilton County,31081,Small metro,15,64
11/04/2020,02/01/2020,10/31/2020,NE,Lancaster County,31109,Medium metro,86,2201
11/04/2020,02/01/2020,10/31/2020,NE,Lincoln County,31111,Micropolitan,24,328
11/04/2020,02/01/2020,10/31/2020,NE,Madison County,31119,Micropolitan,12,306
11/04/2020,02/01/2020,10/31/2020,NE,Perkins County,31135,Noncore,11,32
11/04/2020,02/01/2020,10/31/2020,NE,Sarpy County,31153,Medium metro,15,677
11/04/2020,02/01/2020,10/31/2020,NE,Scotts Bluff County,31157,Micropolitan,13,361
11/04/2020,02/01/2020,10/31/2020,NH,Hillsborough County,33011,Medium metro,325,2952
11/04/2020,02/01/2020,10/31/2020,NH,Merrimack County,33013,Micropolitan,30,1211
11/04/2020,02/01/2020,10/31/2020,NH,Rockingham County,33015,Large fringe metro,84,1820
11/04/2020,02/01/2020,10/31/2020,NJ,Atlantic County,34001,Medium metro,221,2391
11/04/2020,02/01/2020,10/31/2020,NJ,Bergen County,34003,Large fringe metro,2078,7879
11/04/2020,02/01/2020,10/31/2020,NJ,Burlington County,34005,Large fringe metro,463,3086
11/04/2020,02/01/2020,10/31/2020,NJ,Camden County,34007,Large fringe metro,581,5097
11/04/2020,02/01/2020,10/31/2020,NJ,Cape May County,34009,Small metro,80,899
11/04/2020,02/01/2020,10/31/2020,NJ,Cumberland County,34011,Small metro,123,1272
11/04/2020,02/01/2020,10/31/2020,NJ,Essex County,34013,Large central metro,2045,7347
11/04/2020,02/01/2020,10/31/2020,NJ,Gloucester County,34015,Large fringe metro,219,2171
11/04/2020,02/01/2020,10/31/2020,NJ,Hudson County,34017,Large central metro,1099,3757
11/04/2020,02/01/2020,10/31/2020,NJ,Hunterdon County,34019,Large fringe metro,123,720
11/04/2020,02/01/2020,10/31/2020,NJ,Mercer County,34021,Medium metro,536,2645
11/04/2020,02/01/2020,10/31/2020,NJ,Middlesex County,34023,Large fringe metro,1495,6519
11/04/2020,02/01/2020,10/31/2020,NJ,Monmouth County,34025,Large fringe metro,869,5555
11/04/2020,02/01/2020,10/31/2020,NJ,Morris County,34027,Large fringe metro,1000,4637
11/04/2020,02/01/2020,10/31/2020,NJ,Ocean County,34029,Large fringe metro,849,5830
11/04/2020,02/01/2020,10/31/2020,NJ,Passaic County,34031,Large fringe metro,1007,3724
11/04/2020,02/01/2020,10/31/2020,NJ,Salem County,34033,Large fringe metro,61,540
11/04/2020,02/01/2020,10/31/2020,NJ,Somerset County,34035,Large fringe metro,415,2069
11/04/2020,02/01/2020,10/31/2020,NJ,Sussex County,34037,Large fringe metro,158,984
11/04/2020,02/01/2020,10/31/2020,NJ,Union County,34039,Large central metro,1010,4139
11/04/2020,02/01/2020,10/31/2020,NJ,Warren County,34041,Medium metro,139,804
11/04/2020,02/01/2020,10/31/2020,NM,Bernalillo County,35001,Medium metro,373,5786
11/04/2020,02/01/2020,10/31/2020,NM,Chaves County,35005,Micropolitan,11,464
11/04/2020,02/01/2020,10/31/2020,NM,Dona Ana County,35013,Small metro,58,1473
11/04/2020,02/01/2020,10/31/2020,NM,McKinley County,35031,Micropolitan,96,480
11/04/2020,02/01/2020,10/31/2020,NM,Sandoval County,35043,Medium metro,94,1054
11/04/2020,02/01/2020,10/31/2020,NM,San Juan County,35045,Small metro,192,976
11/04/2020,02/01/2020,10/31/2020,NM,Santa Fe County,35049,Small metro,18,989
11/04/2020,02/01/2020,10/31/2020,NV,Clark County,32003,Large central metro,1432,15510
11/04/2020,02/01/2020,10/31/2020,NV,Washoe County,32031,Medium metro,199,3761
11/04/2020,02/01/2020,10/31/2020,NV,Carson City,32510,Small metro,12,835
11/04/2020,02/01/2020,10/31/2020,NY,Albany County,36001,Medium metro,213,3099
11/04/2020,02/01/2020,10/31/2020,NY,Bronx County,36005,Large central metro,4323,13806
11/04/2020,02/01/2020,10/31/2020,NY,Broome County,36007,Small metro,126,1932
11/04/2020,02/01/2020,10/31/2020,NY,Cattaraugus County,36009,Micropolitan,16,575
11/04/2020,02/01/2020,10/31/2020,NY,Chemung County,36015,Small metro,24,716
11/04/2020,02/01/2020,10/31/2020,NY,Columbia County,36021,Micropolitan,49,481
11/04/2020,02/01/2020,10/31/2020,NY,Dutchess County,36027,Large fringe metro,206,2221
11/04/2020,02/01/2020,10/31/2020,NY,Erie County,36029,Large central metro,754,8505
11/04/2020,02/01/2020,10/31/2020,NY,Fulton County,36035,Micropolitan,31,382
11/04/2020,02/01/2020,10/31/2020,NY,Herkimer County,36043,Medium metro,13,378
11/04/2020,02/01/2020,10/31/2020,NY,Kings County,36047,Large central metro,6111,18626
11/04/2020,02/01/2020,10/31/2020,NY,Madison County,36053,Medium metro,12,411
11/04/2020,02/01/2020,10/31/2020,NY,Monroe County,36055,Large central metro,356,6377
11/04/2020,02/01/2020,10/31/2020,NY,Nassau County,36059,Large fringe metro,3254,12519
11/04/2020,02/01/2020,10/31/2020,NY,New York County,36061,Large central metro,4006,14527
11/04/2020,02/01/2020,10/31/2020,NY,Niagara County,36063,Large fringe metro,81,1732
11/04/2020,02/01/2020,10/31/2020,NY,Oneida County,36065,Medium metro,141,2169
11/04/2020,02/01/2020,10/31/2020,NY,Onondaga County,36067,Medium metro,255,4352
11/04/2020,02/01/2020,10/31/2020,NY,Ontario County,36069,Large fringe metro,35,824
11/04/2020,02/01/2020,10/31/2020,NY,Orange County,36071,Large fringe metro,490,2617
11/04/2020,02/01/2020,10/31/2020,NY,Orleans County,36073,Large fringe metro,44,260
11/04/2020,02/01/2020,10/31/2020,NY,Otsego County,36077,Micropolitan,14,633
11/04/2020,02/01/2020,10/31/2020,NY,Putnam County,36079,Large fringe metro,70,463
11/04/2020,02/01/2020,10/31/2020,NY,Queens County,36081,Large central metro,5470,16166
11/04/2020,02/01/2020,10/31/2020,NY,Rensselaer County,36083,Medium metro,43,1141
11/04/2020,02/01/2020,10/31/2020,NY,Richmond County,36085,Large central metro,997,3851
11/04/2020,02/01/2020,10/31/2020,NY,Rockland County,36087,Large fringe metro,664,2329
11/04/2020,02/01/2020,10/31/2020,NY,Schenectady County,36093,Medium metro,37,1234
11/04/2020,02/01/2020,10/31/2020,NY,Steuben County,36101,Micropolitan,66,758
11/04/2020,02/01/2020,10/31/2020,NY,Suffolk County,36103,Large fringe metro,2723,12324
11/04/2020,02/01/2020,10/31/2020,NY,Sullivan County,36105,Noncore,45,517
11/04/2020,02/01/2020,10/31/2020,NY,Tioga County,36107,Small metro,20,241
11/04/2020,02/01/2020,10/31/2020,NY,Ulster County,36111,Small metro,60,1074
11/04/2020,02/01/2020,10/31/2020,NY,Warren County,36113,Small metro,44,751
11/04/2020,02/01/2020,10/31/2020,NY,Washington County,36115,Small metro,12,429
11/04/2020,02/01/2020,10/31/2020,NY,Westchester County,36119,Large fringe metro,1911,7324
11/04/2020,02/01/2020,10/31/2020,OH,Allen County,39003,Small metro,93,1140
11/04/2020,02/01/2020,10/31/2020,OH,Ashtabula County,39007,Micropolitan,35,746
11/04/2020,02/01/2020,10/31/2020,OH,Butler County,39017,Large fringe metro,110,2461
11/04/2020,02/01/2020,10/31/2020,OH,Clark County,39023,Small metro,48,1273
11/04/2020,02/01/2020,10/31/2020,OH,Clermont County,39025,Large fringe metro,17,918
11/04/2020,02/01/2020,10/31/2020,OH,Columbiana County,39029,Micropolitan,65,848
11/04/2020,02/01/2020,10/31/2020,OH,Cuyahoga County,39035,Large central metro,775,12826
11/04/2020,02/01/2020,10/31/2020,OH,Darke County,39037,Micropolitan,40,409
11/04/2020,02/01/2020,10/31/2020,OH,Delaware County,39041,Large fringe metro,11,687
11/04/2020,02/01/2020,10/31/2020,OH,Erie County,39043,Micropolitan,52,863
11/04/2020,02/01/2020,10/31/2020,OH,Fairfield County,39045,Large fringe metro,48,1068
11/04/2020,02/01/2020,10/31/2020,OH,Franklin County,39049,Large central metro,803,10727
11/04/2020,02/01/2020,10/31/2020,OH,Gallia County,39053,Micropolitan,18,305
11/04/2020,02/01/2020,10/31/2020,OH,Geauga County,39055,Large fringe metro,52,698
11/04/2020,02/01/2020,10/31/2020,OH,Greene County,39057,Medium metro,37,938
11/04/2020,02/01/2020,10/31/2020,OH,Hamilton County,39061,Large central metro,370,7839
11/04/2020,02/01/2020,10/31/2020,OH,Hancock County,39063,Micropolitan,35,697
11/04/2020,02/01/2020,10/31/2020,OH,Henry County,39069,Noncore,11,131
11/04/2020,02/01/2020,10/31/2020,OH,Knox County,39083,Micropolitan,10,430
11/04/2020,02/01/2020,10/31/2020,OH,Lake County,39085,Large fringe metro,50,1576
11/04/2020,02/01/2020,10/31/2020,OH,Licking County,39089,Large fringe metro,58,1172
11/04/2020,02/01/2020,10/31/2020,OH,Lorain County,39093,Large fringe metro,63,2064
11/04/2020,02/01/2020,10/31/2020,OH,Lucas County,39095,Medium metro,458,4633
11/04/2020,02/01/2020,10/31/2020,OH,Mahoning County,39099,Medium metro,301,2892
11/04/2020,02/01/2020,10/31/2020,OH,Marion County,39101,Micropolitan,37,556
11/04/2020,02/01/2020,10/31/2020,OH,Medina County,39103,Large fringe metro,26,1018
11/04/2020,02/01/2020,10/31/2020,OH,Mercer County,39107,Micropolitan,12,263
11/04/2020,02/01/2020,10/31/2020,OH,Miami County,39109,Medium metro,39,759
11/04/2020,02/01/2020,10/31/2020,OH,Montgomery County,39113,Medium metro,304,6045
11/04/2020,02/01/2020,10/31/2020,OH,Muskingum County,39119,Micropolitan,12,865
11/04/2020,02/01/2020,10/31/2020,OH,Ottawa County,39123,Micropolitan,18,255
11/04/2020,02/01/2020,10/31/2020,OH,Pickaway County,39129,Large fringe metro,15,361
11/04/2020,02/01/2020,10/31/2020,OH,Portage County,39133,Medium metro,47,1006
11/04/2020,02/01/2020,10/31/2020,OH,Putnam County,39137,Noncore,15,185
11/04/2020,02/01/2020,10/31/2020,OH,Richland County,39139,Small metro,23,1096
11/04/2020,02/01/2020,10/31/2020,OH,Ross County,39141,Micropolitan,27,768
11/04/2020,02/01/2020,10/31/2020,OH,Sandusky County,39143,Micropolitan,18,406
11/04/2020,02/01/2020,10/31/2020,OH,Scioto County,39145,Micropolitan,14,890
11/04/2020,02/01/2020,10/31/2020,OH,Shelby County,39149,Micropolitan,11,290
11/04/2020,02/01/2020,10/31/2020,OH,Stark County,39151,Medium metro,205,3607
11/04/2020,02/01/2020,10/31/2020,OH,Summit County,39153,Medium metro,239,4885
11/04/2020,02/01/2020,10/31/2020,OH,Trumbull County,39155,Medium metro,80,1610
11/04/2020,02/01/2020,10/31/2020,OH,Tuscarawas County,39157,Micropolitan,22,828
11/04/2020,02/01/2020,10/31/2020,OH,Warren County,39165,Large fringe metro,46,1375
11/04/2020,02/01/2020,10/31/2020,OH,Washington County,39167,Micropolitan,29,629
11/04/2020,02/01/2020,10/31/2020,OH,Wayne County,39169,Micropolitan,65,841
11/04/2020,02/01/2020,10/31/2020,OH,Wood County,39173,Medium metro,58,970
11/04/2020,02/01/2020,10/31/2020,OH,Wyandot County,39175,Noncore,11,174
11/04/2020,02/01/2020,10/31/2020,OK,Bryan County,40013,Micropolitan,21,331
11/04/2020,02/01/2020,10/31/2020,OK,Caddo County,40015,Noncore,15,197
11/04/2020,02/01/2020,10/31/2020,OK,Canadian County,40017,Large fringe metro,11,518
11/04/2020,02/01/2020,10/31/2020,OK,Cherokee County,40021,Micropolitan,12,346
11/04/2020,02/01/2020,10/31/2020,OK,Cleveland County,40027,Large fringe metro,109,1476
11/04/2020,02/01/2020,10/31/2020,OK,Comanche County,40031,Small metro,26,775
11/04/2020,02/01/2020,10/31/2020,OK,Delaware County,40041,Noncore,24,352
11/04/2020,02/01/2020,10/31/2020,OK,Garfield County,40047,Micropolitan,36,572
11/04/2020,02/01/2020,10/31/2020,OK,Grady County,40051,Large fringe metro,13,319
11/04/2020,02/01/2020,10/31/2020,OK,Kay County,40071,Micropolitan,11,325
11/04/2020,02/01/2020,10/31/2020,OK,McCurtain County,40089,Noncore,13,228
11/04/2020,02/01/2020,10/31/2020,OK,Muskogee County,40101,Micropolitan,50,708
11/04/2020,02/01/2020,10/31/2020,OK,Oklahoma County,40109,Large central metro,449,7759
11/04/2020,02/01/2020,10/31/2020,OK,Pittsburg County,40121,Micropolitan,20,396
11/04/2020,02/01/2020,10/31/2020,OK,Pottawatomie County,40125,Micropolitan,15,578
11/04/2020,02/01/2020,10/31/2020,OK,Rogers County,40131,Medium metro,13,557
11/04/2020,02/01/2020,10/31/2020,OK,Tulsa County,40143,Medium metro,421,6393
11/04/2020,02/01/2020,10/31/2020,OK,Washington County,40147,Micropolitan,41,545
11/04/2020,02/01/2020,10/31/2020,OK,Woodward County,40153,Micropolitan,14,144
11/04/2020,02/01/2020,10/31/2020,OR,Clackamas County,41005,Large fringe metro,56,2658
11/04/2020,02/01/2020,10/31/2020,OR,Deschutes County,41017,Small metro,22,1291
11/04/2020,02/01/2020,10/31/2020,OR,Lane County,41039,Medium metro,23,2992
11/04/2020,02/01/2020,10/31/2020,OR,Lincoln County,41041,Micropolitan,12,400
11/04/2020,02/01/2020,10/31/2020,OR,Linn County,41043,Small metro,16,1058
11/04/2020,02/01/2020,10/31/2020,OR,Malheur County,41045,Micropolitan,10,223
11/04/2020,02/01/2020,10/31/2020,OR,Marion County,41047,Medium metro,85,2195
11/04/2020,02/01/2020,10/31/2020,OR,Multnomah County,41051,Large central metro,199,5261
11/04/2020,02/01/2020,10/31/2020,OR,Umatilla County,41059,Micropolitan,32,476
11/04/2020,02/01/2020,10/31/2020,OR,Wasco County,41065,Micropolitan,13,239
11/04/2020,02/01/2020,10/31/2020,OR,Washington County,41067,Large fringe metro,100,2780
11/04/2020,02/01/2020,10/31/2020,OR,Yamhill County,41071,Large fringe metro,13,691
11/04/2020,02/01/2020,10/31/2020,PA,Adams County,42001,Small metro,15,684
11/04/2020,02/01/2020,10/31/2020,PA,Allegheny County,42003,Large central metro,504,12858
11/04/2020,02/01/2020,10/31/2020,PA,Armstrong County,42005,Large fringe metro,17,486
11/04/2020,02/01/2020,10/31/2020,PA,Beaver County,42007,Large fringe metro,141,1530
11/04/2020,02/01/2020,10/31/2020,PA,Berks County,42011,Medium metro,406,3240
11/04/2020,02/01/2020,10/31/2020,PA,Blair County,42013,Small metro,37,1485
11/04/2020,02/01/2020,10/31/2020,PA,Bradford County,42015,Micropolitan,28,680
11/04/2020,02/01/2020,10/31/2020,PA,Bucks County,42017,Large fringe metro,600,5008
11/04/2020,02/01/2020,10/31/2020,PA,Butler County,42019,Large fringe metro,15,1444
11/04/2020,02/01/2020,10/31/2020,PA,Carbon County,42025,Medium metro,20,498
11/04/2020,02/01/2020,10/31/2020,PA,Centre County,42027,Small metro,17,787
11/04/2020,02/01/2020,10/31/2020,PA,Chester County,42029,Large fringe metro,431,3550
11/04/2020,02/01/2020,10/31/2020,PA,Clearfield County,42033,Micropolitan,11,719
11/04/2020,02/01/2020,10/31/2020,PA,Columbia County,42037,Small metro,27,362
11/04/2020,02/01/2020,10/31/2020,PA,Cumberland County,42041,Medium metro,113,2028
11/04/2020,02/01/2020,10/31/2020,PA,Dauphin County,42043,Medium metro,215,2728
11/04/2020,02/01/2020,10/31/2020,PA,Delaware County,42045,Large fringe metro,767,4420
11/04/2020,02/01/2020,10/31/2020,PA,Erie County,42049,Medium metro,53,2522
11/04/2020,02/01/2020,10/31/2020,PA,Fayette County,42051,Large fringe metro,13,1036
11/04/2020,02/01/2020,10/31/2020,PA,Franklin County,42055,Small metro,58,1267
11/04/2020,02/01/2020,10/31/2020,PA,Huntingdon County,42061,Micropolitan,12,287
11/04/2020,02/01/2020,10/31/2020,PA,Indiana County,42063,Micropolitan,12,644
11/04/2020,02/01/2020,10/31/2020,PA,Lackawanna County,42069,Medium metro,245,2490
11/04/2020,02/01/2020,10/31/2020,PA,Lancaster County,42071,Medium metro,457,4282
11/04/2020,02/01/2020,10/31/2020,PA,Lawrence County,42073,Micropolitan,31,836
11/04/2020,02/01/2020,10/31/2020,PA,Lebanon County,42075,Small metro,61,1127
11/04/2020,02/01/2020,10/31/2020,PA,Lehigh County,42077,Medium metro,533,4060
11/04/2020,02/01/2020,10/31/2020,PA,Luzerne County,42079,Medium metro,196,3214
11/04/2020,02/01/2020,10/31/2020,PA,Lycoming County,42081,Small metro,36,1096
11/04/2020,02/01/2020,10/31/2020,PA,Mercer County,42085,Medium metro,26,1027
11/04/2020,02/01/2020,10/31/2020,PA,Monroe County,42089,Small metro,114,1130
11/04/2020,02/01/2020,10/31/2020,PA,Montgomery County,42091,Large fringe metro,1171,7379
11/04/2020,02/01/2020,10/31/2020,PA,Montour County,42093,Small metro,68,1010
11/04/2020,02/01/2020,10/31/2020,PA,Northampton County,42095,Medium metro,279,2306
11/04/2020,02/01/2020,10/31/2020,PA,Northumberland County,42097,Micropolitan,87,740
11/04/2020,02/01/2020,10/31/2020,PA,Philadelphia County,42101,Large central metro,1721,13484
11/04/2020,02/01/2020,10/31/2020,PA,Pike County,42103,Large fringe metro,13,242
11/04/2020,02/01/2020,10/31/2020,PA,Schuylkill County,42107,Micropolitan,60,1271
11/04/2020,02/01/2020,10/31/2020,PA,Snyder County,42109,Micropolitan,11,195
11/04/2020,02/01/2020,10/31/2020,PA,Susquehanna County,42115,Noncore,35,341
11/04/2020,02/01/2020,10/31/2020,PA,Union County,42119,Micropolitan,15,347
11/04/2020,02/01/2020,10/31/2020,PA,Washington County,42125,Large fringe metro,27,1825
11/04/2020,02/01/2020,10/31/2020,PA,Wayne County,42127,Noncore,12,436
11/04/2020,02/01/2020,10/31/2020,PA,Westmoreland County,42129,Large fringe metro,81,2800
11/04/2020,02/01/2020,10/31/2020,PA,York County,42133,Medium metro,206,3405
11/04/2020,02/01/2020,10/31/2020,RI,Kent County,44003,Large fringe metro,119,1220
11/04/2020,02/01/2020,10/31/2020,RI,Providence County,44007,Large central metro,937,5670
11/04/2020,02/01/2020,10/31/2020,RI,Washington County,44009,Large fringe metro,62,852
11/04/2020,02/01/2020,10/31/2020,SC,Aiken County,45003,Medium metro,79,1382
11/04/2020,02/01/2020,10/31/2020,SC,Anderson County,45007,Medium metro,198,2079
11/04/2020,02/01/2020,10/31/2020,SC,Beaufort County,45013,Small metro,73,1232
11/04/2020,02/01/2020,10/31/2020,SC,Berkeley County,45015,Medium metro,54,1133
11/04/2020,02/01/2020,10/31/2020,SC,Calhoun County,45017,Medium metro,13,110
11/04/2020,02/01/2020,10/31/2020,SC,Charleston County,45019,Medium metro,376,4030
11/04/2020,02/01/2020,10/31/2020,SC,Cherokee County,45021,Micropolitan,11,374
11/04/2020,02/01/2020,10/31/2020,SC,Chesterfield County,45025,Noncore,24,358
11/04/2020,02/01/2020,10/31/2020,SC,Clarendon County,45027,Noncore,32,254
11/04/2020,02/01/2020,10/31/2020,SC,Colleton County,45029,Noncore,39,416
11/04/2020,02/01/2020,10/31/2020,SC,Darlington County,45031,Small metro,66,504
11/04/2020,02/01/2020,10/31/2020,SC,Dillon County,45033,Noncore,18,265
11/04/2020,02/01/2020,10/31/2020,SC,Dorchester County,45035,Medium metro,61,760
11/04/2020,02/01/2020,10/31/2020,SC,Fairfield County,45039,Medium metro,13,177
11/04/2020,02/01/2020,10/31/2020,SC,Florence County,45041,Small metro,371,2519
11/04/2020,02/01/2020,10/31/2020,SC,Georgetown County,45043,Micropolitan,67,785
11/04/2020,02/01/2020,10/31/2020,SC,Greenville County,45045,Medium metro,358,4483
11/04/2020,02/01/2020,10/31/2020,SC,Greenwood County,45047,Micropolitan,107,900
11/04/2020,02/01/2020,10/31/2020,SC,Hampton County,45049,Noncore,22,146
11/04/2020,02/01/2020,10/31/2020,SC,Horry County,45051,Medium metro,222,3339
11/04/2020,02/01/2020,10/31/2020,SC,Jasper County,45053,Small metro,29,259
11/04/2020,02/01/2020,10/31/2020,SC,Kershaw County,45055,Medium metro,21,479
11/04/2020,02/01/2020,10/31/2020,SC,Lancaster County,45057,Large fringe metro,55,652
11/04/2020,02/01/2020,10/31/2020,SC,Laurens County,45059,Medium metro,33,565
11/04/2020,02/01/2020,10/31/2020,SC,Lexington County,45063,Medium metro,191,2341
11/04/2020,02/01/2020,10/31/2020,SC,Marion County,45067,Noncore,17,240
11/04/2020,02/01/2020,10/31/2020,SC,Newberry County,45071,Micropolitan,28,341
11/04/2020,02/01/2020,10/31/2020,SC,Oconee County,45073,Micropolitan,26,715
11/04/2020,02/01/2020,10/31/2020,SC,Orangeburg County,45075,Micropolitan,124,910
11/04/2020,02/01/2020,10/31/2020,SC,Pickens County,45077,Medium metro,35,759
11/04/2020,02/01/2020,10/31/2020,SC,Richland County,45079,Medium metro,344,3440
11/04/2020,02/01/2020,10/31/2020,SC,Saluda County,45081,Medium metro,10,121
11/04/2020,02/01/2020,10/31/2020,SC,Spartanburg County,45083,Medium metro,277,3075
11/04/2020,02/01/2020,10/31/2020,SC,Sumter County,45085,Small metro,79,952
11/04/2020,02/01/2020,10/31/2020,SC,Williamsburg County,45089,Noncore,18,223
11/04/2020,02/01/2020,10/31/2020,SC,York County,45091,Large fringe metro,97,1725
11/04/2020,02/01/2020,10/31/2020,SD,Codington County,46029,Micropolitan,12,225
11/04/2020,02/01/2020,10/31/2020,SD,Jerauld County,46073,Noncore,12,27
11/04/2020,02/01/2020,10/31/2020,SD,Lincoln County,46083,Small metro,13,209
11/04/2020,02/01/2020,10/31/2020,SD,Minnehaha County,46099,Small metro,217,1976
11/04/2020,02/01/2020,10/31/2020,SD,Pennington County,46103,Small metro,66,967
11/04/2020,02/01/2020,10/31/2020,SD,Yankton County,46135,Micropolitan,13,215
11/04/2020,02/01/2020,10/31/2020,TN,Anderson County,47001,Medium metro,18,869
11/04/2020,02/01/2020,10/31/2020,TN,Blount County,47009,Medium metro,32,1064
11/04/2020,02/01/2020,10/31/2020,TN,Bradley County,47011,Small metro,26,856
11/04/2020,02/01/2020,10/31/2020,TN,Carroll County,47017,Noncore,19,287
11/04/2020,02/01/2020,10/31/2020,TN,Carter County,47019,Small metro,18,521
11/04/2020,02/01/2020,10/31/2020,TN,Cocke County,47029,Micropolitan,10,361
11/04/2020,02/01/2020,10/31/2020,TN,Coffee County,47031,Micropolitan,24,489
11/04/2020,02/01/2020,10/31/2020,TN,Cumberland County,47035,Micropolitan,20,640
